ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,GEOID,NAMELSAD,MEDIAN_INCOME,TOTAL_POPULATION,PCT_WHITE,PCT_BLACK,PCT_HISPANIC,PCT_TRANSIT_WALK_COMMUTE
410136,1,41,Male,Pedestrian,2021,May,Monday,1:00am-1:59am,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.51998889,-123.01166111,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,97,Not Reported,1,"Two-Way, Not Divided",41067032901,Census Tract 329.01,91136.0,6727,44.9531737773153,1.010851791288836,46.70729894455181,6.9700827498408655
410141,1,14,Male,Bicyclist,2021,May,Monday,7:00pm-7:59pm,Daylight,Clear,Urban,Local,T-Intersection,On Roadway,None / Unknown,42.32298611,-122.81627222,Not a Pedestrian,At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Not applicable,25,25 MPH,97,Not Reported,1,"Two-Way, Not Divided",41029000604,Census Tract 6.04,66364.0,3804,86.67192429022083,0.0,11.487907465825446,4.408602150537634
410158,1,63,Female,Pedestrian,2021,June,Thursday,1:00am-1:59am,Dark - Not Lighted,Clear,Rural,Interstate,Not an Intersection,On Roadway,None / Unknown,45.10025,-122.932125,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,60,60 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41047010303,Census Tract 103.03,70946.0,4410,39.54648526077097,0.36281179138321995,55.75963718820862,3.598400710795202
410168,1,79,Male,Pedestrian,2021,June,Thursday,8:00am-8:59am,Daylight,Clear,Urban,Local,Not an Intersection,On Roadway,None / Unknown,45.43353889,-122.48418056,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41005023201,Census Tract 232.01,109950.0,4117,79.11100315763906,0.0,8.185572018460045,1.3851891315929674
410180,1,73,Female,Pedestrian,2021,July,Friday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.94288056,-123.03545833,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,25,25 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,4,One-Way Trafficway,41047000200,Census Tract 2,51630.0,4225,65.37278106508876,0.5680473372781065,16.023668639053255,26.73956262425447
410185,1,34,Male,Pedestrian,2021,July,Monday,1:00am-1:59am,Dark - Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.59501389,-122.63539722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",41051007300,Census Tract 73,40893.0,1362,56.093979441997064,10.719530102790015,14.170337738619676,22.18045112781955
410191,1,35,Female,Pedestrian,2021,July,Wednesday,10:00pm-10:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.94685556,-123.03723889,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,30,30 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41047000200,Census Tract 2,51630.0,4225,65.37278106508876,0.5680473372781065,16.023668639053255,26.73956262425447
410199,1,70,Male,Pedestrian,2021,July,Monday,9:00pm-9:59pm,Not Reported,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.39411389,-124.21951944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",41011000300,Census Tract 3,55792.0,3591,74.12976886661097,2.199944305207463,11.166805903648008,0.27932960893854747
410217,1,49,Male,Pedestrian,2021,August,Sunday,1:00am-1:59am,Dark - Not Lighted,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,43.22035278,-123.35845833,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,60,60 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41019080002,Census Tract 800.02,86645.0,5158,81.62078324932143,0.11632415664986429,7.929430011632416,1.73046670162559
410219,1,33,Female,Pedestrian,2021,July,Friday,1:00pm-1:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.96908056,-122.98483056,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41047001607,Census Tract 16.07,48151.0,4844,30.099091659785298,0.0,44.426094137076795,14.608233731739709
