ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,SPATIAL_CLUSTER
410243,1,59,Male,Pedestrian,2015,August,Monday,8:00am-8:59am,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.526425,-122.5790806,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410244,1,47,Female,Pedestrian,2015,August,Friday,3:00pm-3:59pm,Daylight,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.60149722,-121.1774556,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410253,1,78,Female,Pedestrian,2015,September,Friday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,44.04583889,-122.9807778,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410254,1,64,Female,Pedestrian,2015,July,Friday,2:00pm-2:59pm,Daylight,Clear,Rural,Minor Arterial,Not an Intersection,On Roadway,Construction,45.59696111,-123.5060472,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,50,Person,1,"Two-Way, Not Divided",-1
410267,1,34,Male,Pedestrian,2015,September,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Major Collector,T-Intersection,On Roadway,None / Unknown,45.51931667,-122.6358944,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410270,1,27,Male,Pedestrian,2015,October,Thursday,7:00pm-7:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.53364167,-122.9312111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,45,45 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410271,1,29,Male,Pedestrian,2015,September,Friday,0:00am-0:59am,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.33055278,-122.5756278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,2,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",-1
410273,1,60,Male,Pedestrian,2015,October,Sunday,8:00pm-8:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,42.18063333,-121.8013583,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410276,1,46,Female,Pedestrian,2015,October,Monday,8:00am-8:59am,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.52192778,-122.4771444,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,3,"Two-Way,  Divided, Positive  Median Barrier",1
410278,1,59,Male,Pedestrian,2015,September,Saturday,1:00am-1:59am,Dark - Not Lighted,Not Reported,Urban,Minor Arterial,Not an Intersection,On Shoulder,None / Unknown,42.49703889,-123.3618833,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
