ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,SPATIAL_CLUSTER
410019,1,42,Female,Person on Non-Motorized Personal Conveyance,2020,January,Saturday,1:00am-1:59am,Dark - Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,44.93848611,-122.99182778,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,25,25 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410021,1,44,Male,Pedestrian,2020,January,Sunday,10:00pm-10:59pm,Dark - Not Lighted,Rain,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.05531111,-124.41525556,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410029,1,60,Male,Pedestrian,2020,March,Wednesday,6:00am-6:59am,Daylight,Cloudy,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.40468889,-122.62322778,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410037,1,61,Male,Pedestrian,2020,May,Thursday,10:00pm-10:59pm,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.37713333,-122.60227778,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410042,1,65,Male,Bicyclist,2020,April,Thursday,7:00pm-7:59pm,Daylight,Clear,Rural,Minor Collector,Not an Intersection,On Shoulder,None / Unknown,44.07042778,-123.23029167,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410044,1,49,Female,Pedestrian,2020,May,Monday,0:00am-0:59am,Dark - Not Lighted,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,42.33621111,-122.87201111,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410052,1,2,Female,Pedestrian,2020,June,Friday,10:00am-10:59am,Daylight,Cloudy,Urban,Major Collector,T-Intersection,On Roadway,None / Unknown,44.39363333,-122.72915,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,25,25 MPH,20,Stop Sign,1,"Two-Way, Not Divided",-1
410063,1,55,Male,Pedestrian,2020,January,Wednesday,6:00pm-6:59pm,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.63212778,-123.07322778,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410065,1,28,Female,Pedestrian,2020,January,Thursday,1:00am-1:59am,Dark - Lighted,Cloudy,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.53131944,-122.57084722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410068,1,46,Male,Pedestrian,2020,January,Thursday,8:00pm-8:59pm,Dark - Not Lighted,"Snow | Fog, Smog, Smoke",Rural,Major Collector,Not an Intersection,On Roadway,None / Unknown,44.12021111,-120.91678611,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
410071,1,48,Male,Pedestrian,2020,January,Saturday,10:00pm-10:59pm,Dark - Not Lighted,Cloudy,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.14631111,-122.88526944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,65,65 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410078,1,70,Male,Pedestrian,2020,February,Saturday,5:00am-5:59am,Dark - Not Lighted,Cloudy,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.29439444,-121.558475,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410082,1,17,Female,Pedestrian,2020,February,Tuesday,8:00pm-8:59pm,Dark - Not Lighted,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,44.06192222,-123.08184722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410092,1,35,Male,Pedestrian,2020,April,Friday,11:00pm-11:59pm,Dark - Not Lighted,Clear,Rural,Interstate,Not an Intersection,On Roadway,None / Unknown,45.06233889,-122.96561667,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,60,60 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410100,1,66,Male,Pedestrian,2020,June,Monday,12:00pm-12:59pm,Daylight,Clear,Urban,Interstate,Not an Intersection,On Shoulder,None / Unknown,45.54256111,-122.4889,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,60,60 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410106,1,76,Female,Pedestrian,2020,June,Tuesday,1:00pm-1:59pm,Daylight,Clear,Rural,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.58803056,-123.94780833,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Westbound,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410132,1,2,Male,Bicyclist,2020,July,Tuesday,4:00pm-4:59pm,Daylight,Clear,Rural,Local,Four-Way Intersection,On Roadway,None / Unknown,44.70477222,-122.85094444,Not a Pedestrian,At Intersection,Not a Pedestrian,Sidewalk  / Crosswalk / Driveway Access,Not a Pedestrian,With Traffic,25,25 MPH,20,Stop Sign,1,"Two-Way, Not Divided",-1
410146,1,35,Female,Pedestrian,2020,July,Thursday,9:00pm-9:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,46.04325278,-123.91345833,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Eastbound,Not a Cyclist,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410154,1,64,Male,Pedestrian,2020,August,Friday,1:00pm-1:59pm,Daylight,Not Reported,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.05218056,-123.11405833,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,40,40 MPH,0,No Controls,4,One-Way Trafficway,-1
410160,1,95,Female,Pedestrian,2020,August,Wednesday,5:00pm-5:59pm,Daylight,Clear,Urban,Major Collector,Not an Intersection,On Shoulder,None / Unknown,42.27293889,-122.82983333,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410161,1,16,Male,Pedestrian,2020,August,Wednesday,4:00am-4:59am,Dark - Not Lighted,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,44.62284167,-123.06185278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,65,65 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410163,1,60,Male,Bicyclist,2020,April,Thursday,10:00am-10:59am,Daylight,Clear,Rural,Local,Not an Intersection,On Roadway,None / Unknown,44.48229444,-122.82666667,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410170,1,46,Female,Pedestrian,2020,September,Friday,2:00am-2:59am,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.52364444,-122.65638611,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,4,One-Way Trafficway,-1
410173,1,42,Male,Bicyclist,2020,September,Sunday,1:00pm-1:59pm,Daylight,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Shoulder,None / Unknown,43.4572,-124.22934167,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410173,2,52,Male,Bicyclist,2020,September,Sunday,1:00pm-1:59pm,Daylight,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Shoulder,None / Unknown,43.4572,-124.22934167,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410194,1,55,Male,Pedestrian,2020,August,Monday,8:00pm-8:59pm,Dusk,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.36653611,-122.15801944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410202,1,56,Male,Pedestrian,2020,August,Saturday,8:00pm-8:59pm,Daylight,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.59546111,-120.71824722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410205,1,64,Male,Pedestrian,2020,September,Saturday,11:00pm-11:59pm,Dark - Not Lighted,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.66385833,-118.80938056,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,70,70 MPH,97,Not Reported,2,"Two-Way, Divided, Unprotected Median",-1
410208,1,36,Male,Pedestrian,2020,September,Friday,6:00pm-6:59pm,Daylight,"Fog, Smog, Smoke",Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.52288889,-122.64756944,Intersection-Related,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,20,20 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410229,1,37,Female,Pedestrian,2020,October,Saturday,2:00am-2:59am,Dark - Lighted,Rain,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.54781667,-122.67885278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410229,2,32,Female,Pedestrian,2020,October,Saturday,2:00am-2:59am,Dark - Lighted,Rain,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.54781667,-122.67885278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410233,1,75,Male,Person on Motorized Personal Conveyance,2020,October,Thursday,1:00pm-1:59pm,Daylight,Cloudy,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,44.8098,-122.79211944,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Northbound,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410234,1,70,Male,Bicyclist,2020,October,Friday,12:00pm-12:59pm,Daylight,Cloudy,Urban,Minor Collector,Not an Intersection,On Roadway,None / Unknown,45.00980833,-123.04996944,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410241,1,20,Female,Pedestrian,2020,January,Sunday,3:00am-3:59am,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.94551667,-118.38752222,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410242,1,11,Male,Pedestrian,2020,January,Monday,8:00am-8:59am,Daylight,Rain,Urban,Minor Arterial,T-Intersection,On Roadway,Construction,45.49409722,-122.41391944,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410243,1,11,Female,Pedestrian,2020,January,Wednesday,6:00pm-6:59pm,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.55384722,-123.26501944,Not At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Applicable,Not a Cyclist,25,25 MPH,40,Warning Sign,2,"Two-Way, Divided, Unprotected Median",10
410245,1,51,Female,Pedestrian,2020,January,Tuesday,6:00am-6:59am,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.51996389,-123.0275,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,50,50 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410246,1,46,Male,Person on Motorized Personal Conveyance,2020,January,Wednesday,8:00pm-8:59pm,Not Reported,Not Reported,Urban,Minor Arterial,Not an Intersection,Not Reported,None / Unknown,43.27160278,-123.35349167,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410247,1,59,Male,Pedestrian,2020,January,Tuesday,6:00pm-6:59pm,Not Reported,Not Reported,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,44.64425833,-121.126,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410250,1,58,Female,Pedestrian,2020,January,Friday,6:00pm-6:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.04565556,-122.93375,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",0
410251,1,22,Male,Pedestrian,2020,January,Tuesday,2:00am-2:59am,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.57708056,-122.65406944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410253,1,52,Female,Pedestrian,2020,February,Tuesday,10:00pm-10:59pm,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.99714722,-123.02665833,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",2
410254,1,42,Male,Pedestrian,2020,February,Friday,7:00pm-7:59pm,Dark - Unknown Lighting,Not Reported,Urban,Minor Arterial,Not an Intersection,On Roadside,None / Unknown,45.46433056,-122.64662222,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410256,1,37,Male,Bicyclist,2020,February,Monday,0:00am-0:59am,Dark - Lighted,Clear,Urban,Major Collector,Four-Way Intersection,On Roadway,None / Unknown,45.52130833,-122.69823611,Not a Pedestrian,At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410258,1,36,Female,Pedestrian,2020,February,Saturday,9:00pm-9:59pm,Dark - Unknown Lighting,Not Reported,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.53378611,-122.61589722,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410264,1,39,Female,Pedestrian,2020,March,Tuesday,0:00am-0:59am,Dark - Unknown Lighting,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Shoulder,None / Unknown,45.47961944,-122.68017778,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,8,Not Reported,-1
410270,1,64,Male,Bicyclist,2020,May,Tuesday,8:00am-8:59am,Daylight,Clear,Rural,Local,Not an Intersection,On Shoulder,None / Unknown,45.78056667,-119.19978611,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410281,1,72,Male,Pedestrian,2020,May,Tuesday,4:00am-4:59am,Dark - Not Lighted,Rain,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.83760278,-119.31099167,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410284,1,29,Male,Pedestrian,2020,May,Thursday,1:00am-1:59am,Dark - Not Lighted,Rain,Urban,Minor Arterial,Not an Intersection,Not Reported,None / Unknown,44.055525,-123.16310278,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410292,1,51,Male,Pedestrian,2020,June,Thursday,11:00pm-11:59pm,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,Not Reported,None / Unknown,45.46617222,-122.69684722,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410298,1,37,Male,Bicyclist,2020,June,Monday,2:00pm-2:59pm,Daylight,Clear,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.53146111,-122.64946667,Not a Pedestrian,At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410299,1,2,Male,Pedestrian,2020,July,Thursday,12:00pm-12:59pm,Not Reported,Not Reported,Urban,Local,Not an Intersection,On Roadway,None / Unknown,45.45378611,-122.60080278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410303,1,38,Male,Pedestrian,2020,July,Tuesday,10:00pm-10:59pm,Dark - Not Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.04958889,-122.96337222,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410311,1,1,Female,Pedestrian,2020,July,Thursday,7:00pm-7:59pm,Not Reported,Not Reported,Urban,Local,Not Reported,Not Reported,None / Unknown,45.50958333,-122.48535278,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410326,1,28,Male,Pedestrian,2020,August,Friday,11:00pm-11:59pm,Dark - Unknown Lighting,Not Reported,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.62793611,-122.740975,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410329,1,68,Male,Pedestrian,2020,August,Sunday,7:00pm-7:59pm,Daylight,Not Reported,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.57178056,-122.66137222,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410332,1,81,Male,Bicyclist,2020,September,Thursday,9:00am-9:59am,Daylight,Clear,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.51074167,-122.56644167,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Sidewalk  / Crosswalk / Driveway Access,Not a Pedestrian,Not applicable,25,25 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410337,1,67,Male,Pedestrian,2020,September,Tuesday,8:00pm-8:59pm,Dark - Not Lighted,Not Reported,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.11875556,-124.41168056,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410339,1,59,Male,Pedestrian,2020,September,Saturday,6:00pm-6:59pm,Daylight,Not Reported,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.44793611,-122.59576667,Not At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410340,1,52,Male,Pedestrian,2020,September,Thursday,10:00pm-10:59pm,Dark - Unknown Lighting,Not Reported,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.52436944,-122.52091944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410343,1,68,Male,Pedestrian,2020,October,Saturday,8:00pm-8:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,42.42295556,-123.34341944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410345,1,26,Female,Bicyclist,2020,October,Tuesday,4:00pm-4:59pm,Daylight,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,44.96481667,-123.01944167,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410350,1,32,Male,Pedestrian,2020,October,Tuesday,10:00pm-10:59pm,Dark - Lighted,"Fog, Smog, Smoke",Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,42.04955556,-124.25884167,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410355,1,27,Male,Pedestrian,2020,October,Sunday,0:00am-0:59am,Dark - Not Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.46558333,-122.37274722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410356,1,47,Male,Person on Non-Motorized Personal Conveyance,2020,October,Thursday,2:00am-2:59am,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,42.05353056,-124.27832778,At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410361,1,66,Male,Pedestrian,2020,November,Friday,6:00am-6:59am,Dark - Lighted,Rain,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.4572,-122.78334722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410362,1,56,Male,Pedestrian,2020,November,Saturday,9:00pm-9:59pm,Dark - Unknown Lighting,Clear,Rural,Local,Not an Intersection,On Roadway,None / Unknown,45.18016944,-123.22998889,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410365,1,28,Male,Bicyclist,2020,November,Thursday,8:00pm-8:59pm,Not Reported,Not Reported,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.52238889,-122.53713056,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Facing Traffic,98,Not Reported,97,Not Reported,8,Not Reported,-1
410367,1,27,Male,Pedestrian,2020,November,Tuesday,6:00pm-6:59pm,Not Reported,Not Reported,Urban,Minor Arterial,Four-Way Intersection,Not Reported,None / Unknown,45.51914444,-122.49905556,At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,97,Not Reported,8,Not Reported,-1
410369,1,68,Female,Pedestrian,2020,November,Thursday,6:00pm-6:59pm,Dark - Not Lighted,Cloudy,Rural,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.30394167,-122.65623889,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
410374,1,80,Female,Pedestrian,2020,November,Wednesday,2:00pm-2:59pm,Daylight,Not Reported,Rural,Local,Not an Intersection,On Roadway,None / Unknown,44.32183889,-121.23416389,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",-1
410377,1,71,Female,Person on Motorized Personal Conveyance,2020,December,Friday,5:00pm-5:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,44.94893333,-123.01971667,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,30,30 MPH,97,Not Reported,1,"Two-Way, Not Divided",-1
