ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,SPATIAL_CLUSTER
410115,2,21,Male,Pedestrian,2022,March,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,Outside Trafficway,None / Unknown,44.94690556,-123.03901944,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",12
410115,3,54,Male,Pedestrian,2022,March,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,Outside Trafficway,None / Unknown,44.94690556,-123.03901944,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",12
410115,4,29,Female,Pedestrian,2022,March,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,Outside Trafficway,None / Unknown,44.94690556,-123.03901944,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",12
410115,5,18,Female,Pedestrian,2022,March,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,Outside Trafficway,None / Unknown,44.94690556,-123.03901944,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",12
410115,6,43,Male,Pedestrian,2022,March,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,Outside Trafficway,None / Unknown,44.94690556,-123.03901944,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",12
410470,1,63,Female,Pedestrian,2022,October,Saturday,11:00pm-11:59pm,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.51672778,-122.97403611,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",11
410509,1,21,Male,Pedestrian,2022,October,Monday,6:00am-6:59am,Dark - Not Lighted,Clear,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.51911944,-122.51338611,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,30,30 MPH,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",8
410534,1,50,Male,Pedestrian,2022,December,Sunday,9:00pm-9:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.5847,-122.68286667,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",9
410524,1,36,Male,Pedestrian,2023,December,Monday,6:00pm-6:59pm,Dark - Lighted,Clear,Urban,Other Principal Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.52211389,-122.47692778,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,3,"Two-Way,  Divided, Positive  Median Barrier",1
410032,1,44,Male,Pedestrian,2024,February,Monday,2:00am-2:59am,Dark - Lighted,Rain | Cloudy,Urban,Other Principal Arterial,Not an Intersection,On Roadway,Construction,45.46820833,-122.57905833,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,97,Not Reported,1,"Two-Way, Not Divided",3
410269,1,25,Male,Pedestrian,2024,July,Thursday,2:00am-2:59am,Dark - Lighted,Clear,Urban,Other Principal Arterial,T-Intersection,On Roadway,None / Unknown,45.58469722,-122.68266389,Intersection-Related,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,40,40 MPH,97,Not Reported,1,"Two-Way, Not Divided",9
